run,iter,block,problem,boss_fit,ga_fit,boss_agents,ga_agents,best_val
0,0,numeric,Griewank10,-0.04424253383041293,0.2785165788064219,1,2,2.176921728868314e+29
0,0,numeric,Himmelblau2,-0.04424253383041293,0.2785165788064219,4,1,0.04629054482590109
0,0,numeric,Rosenbrock10,-0.04424253383041293,0.2785165788064219,0,0,inf
0,1,numeric,Rosenbrock10,0.39053910278073345,0.5597144121838091,0,0,inf
0,1,numeric,Griewank10,0.39053910278073345,0.5597144121838091,0,1,inf
0,1,numeric,Himmelblau2,0.39053910278073345,0.5597144121838091,3,1,0.009551260715207491
0,2,numeric,Himmelblau2,0.5575306164937877,1.1025250842739145,1,1,0.044353029317979915
0,2,numeric,Griewank10,0.5575306164937877,1.1025250842739145,1,1,1.7667126271854738e+28
0,2,numeric,Rosenbrock10,0.5575306164937877,1.1025250842739145,0,0,inf
0,3,numeric,Griewank10,-0.15162963692929116,-0.15505792593429468,1,2,1.3457231232634837e+46
0,3,numeric,Himmelblau2,-0.15162963692929116,-0.15505792593429468,1,2,3.026245271926058
0,3,numeric,Rosenbrock10,-0.15162963692929116,-0.15505792593429468,0,0,inf
0,4,numeric,Rastrigin10,0.8744818164364249,1.0564909164370218,0,0,inf
0,4,numeric,Griewank10,0.8744818164364249,1.0564909164370218,1,1,1.0090686324168372
0,4,numeric,Himmelblau2,0.8744818164364249,1.0564909164370218,2,1,0.02381523133453755
0,5,numeric,Griewank10,0.17552453814015073,1.0699726145597417,1,1,2.8399457660591797e+29
0,5,numeric,Himmelblau2,0.17552453814015073,1.0699726145597417,3,1,0.025089539937674897
0,5,numeric,Rosenbrock10,0.17552453814015073,1.0699726145597417,0,0,inf
0,6,numeric,Griewank10,0.8860257492056445,0.5932859992691679,1,1,1.0380633074370893
0,6,numeric,Rosenbrock10,0.8860257492056445,0.5932859992691679,0,0,inf
0,6,numeric,Himmelblau2,0.8860257492056445,0.5932859992691679,2,1,0.004657737498083115
0,7,numeric,Himmelblau2,0.9531586453055578,0.8985608547072165,1,2,0.18110433078807664
0,7,numeric,Griewank10,0.9531586453055578,0.8985608547072165,1,1,0.9743594292234146
0,7,numeric,Rastrigin10,0.9531586453055578,0.8985608547072165,0,0,inf
0,8,numeric,Rosenbrock10,0.30649672295068225,-0.4,0,2,2.3029410617444263e+107
0,8,numeric,Rastrigin10,0.30649672295068225,-0.4,0,0,inf
0,8,numeric,Griewank10,0.30649672295068225,-0.4,1,0,0.9743464363882375
0,9,numeric,Griewank10,-0.2,-0.2,1,0,4.412282949382426e+33
0,9,numeric,Rastrigin10,-0.2,-0.2,0,0,inf
0,9,numeric,Rosenbrock10,-0.2,-0.2,0,1,2.676611436803035e+66
1,0,numeric,Griewank10,0.6236325328798155,0.8894066802525,1,1,inf
1,0,numeric,Rosenbrock10,0.6236325328798155,0.8894066802525,0,0,inf
1,0,numeric,Himmelblau2,0.6236325328798155,0.8894066802525,1,2,0.7956250166063644
1,1,numeric,Himmelblau2,0.18959660427326397,0.5900537256452791,4,2,0.010512764172605516
1,1,numeric,Rosenbrock10,0.18959660427326397,0.5900537256452791,0,0,inf
1,1,numeric,Rastrigin10,0.18959660427326397,0.5900537256452791,0,0,inf
1,2,numeric,Rosenbrock10,0.29695333223892695,0.2969532462845577,0,0,inf
1,2,numeric,Rastrigin10,0.29695333223892695,0.2969532462845577,0,0,inf
1,2,numeric,Griewank10,0.29695333223892695,0.2969532462845577,1,1,1.012261383769566
1,3,numeric,Griewank10,-0.2,0.0,1,0,3.581372135830253e+23
1,3,numeric,Rosenbrock10,-0.2,0.0,0,0,inf
1,3,numeric,Rastrigin10,-0.2,0.0,0,0,inf
1,4,numeric,Griewank10,0.6712158247643358,0.7109759160479879,1,1,1.008956501851494
1,4,numeric,Himmelblau2,0.6712158247643358,0.7109759160479879,3,2,0.022780607208745668
1,4,numeric,Rastrigin10,0.6712158247643358,0.7109759160479879,0,1,107.39142436442984
1,5,numeric,Rastrigin10,0.18247548926328105,0.7425675836308188,0,0,inf
1,5,numeric,Himmelblau2,0.18247548926328105,0.7425675836308188,4,1,0.017837097137008352
1,5,numeric,Rosenbrock10,0.18247548926328105,0.7425675836308188,0,0,inf
1,6,numeric,Rosenbrock10,0.3072518873650117,1.0716349378617,0,0,inf
1,6,numeric,Himmelblau2,0.3072518873650117,1.0716349378617,5,1,0.04364569867406159
1,6,numeric,Griewank10,0.3072518873650117,1.0716349378617,1,1,0.8212537609896782
1,7,numeric,Griewank10,-0.2,-0.4,1,0,7.898390048873634e+54
1,7,numeric,Rastrigin10,-0.2,-0.4,0,2,5.049727025044101e+42
1,7,numeric,Rosenbrock10,-0.2,-0.4,0,0,inf
1,8,numeric,Rosenbrock10,0.12704918184562763,-0.0029987282801982595,0,0,inf
1,8,numeric,Rastrigin10,0.12704918184562763,-0.0029987282801982595,0,1,inf
1,8,numeric,Himmelblau2,0.12704918184562763,-0.0029987282801982595,4,4,0.07869142175298316
1,9,numeric,Himmelblau2,-0.2868907921131005,0.8846734562160716,5,1,0.09515925517187755
1,9,numeric,Griewank10,-0.2868907921131005,0.8846734562160716,1,1,1.2209027892653452e+34
1,9,numeric,Rosenbrock10,-0.2868907921131005,0.8846734562160716,0,0,inf
2,0,numeric,Rastrigin10,0.9666062709944947,1.0044249049819887,0,0,inf
2,0,numeric,Himmelblau2,0.9666062709944947,1.0044249049819887,1,1,0.1939480955676936
2,0,numeric,Griewank10,0.9666062709944947,1.0044249049819887,1,1,0.8901843584373931
