Instance,Configuration,Mean,Median,Std Dev,Min,Max,Times Best Known,Best Known
ft53,Config1,7896.612903225807,7893.0,137.50276886815766,7572.0,8094.0,0,6905
ft53,Config2,8401.032258064517,8381.0,285.1954037397096,7712.0,8935.0,0,6905
ft53,Config3,8403.129032258064,8434.0,132.98865872951865,8091.0,8626.0,0,6905
