problem,algo,mean_f,median_f,stdev_f,min_f,max_f,successes_<=1e-6,runs
Griewank10,PSO,0.026441812741380133,0.0245732940863705,0.017354492358338285,0.0,0.0712954192411585,2,31
Griewank10,GA,0.06919955066750921,0.0655865352449562,0.022375825058602614,0.0235418906722001,0.1187578465130941,0,31
Griewank10,DE,0.49468157435066934,0.5119807025256048,0.07671791247554836,0.2978144711960717,0.6267454480219683,0,31
