problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Rastrigin10,DE,0,994559860,37.370142645213306,0,"0.245562,0.139608,-1.032789,0.064044,1.131273,1.953425,-1.093105,-0.077042,-1.85817,0.924188",3.1164538860321045
Rastrigin10,DE,1,2037286067,39.77329898038076,0,"0.129387,1.201007,-0.025696,2.023305,0.207495,2.024875,1.162017,1.932429,0.051729,-1.004305",2.8088362216949463
Rastrigin10,DE,2,532230472,34.98929262853734,0,"0.134977,-0.973068,-1.117811,2.065008,2.06076,0.996057,-0.029129,-2.018569,-2.047932,-0.816196",3.2589380741119385
Rastrigin10,DE,3,1460040070,37.2611032445861,0,"-1.111738,-2.075745,1.873813,-1.882098,-0.163457,-2.034891,1.033869,-0.9098,-0.938964,0.977215",2.9837985038757324
Rastrigin10,DE,4,264246560,34.36486869464103,0,"-0.077606,1.796572,-1.086005,1.085631,0.1027,-0.166956,-0.0695,0.967585,2.104537,1.066363",2.8783810138702393
Rastrigin10,DE,5,1053713123,30.60431098503028,0,"-0.131863,-0.066272,-0.73813,0.135368,1.869952,1.003824,-0.015538,-0.046749,1.014543,-0.116185",3.0326032638549805
Rastrigin10,DE,6,1019136619,40.45995224439007,0,"1.783892,1.128426,-1.919169,-0.002956,-0.000635,-1.000623,0.672391,-0.000877,-1.095677,0.995877",2.831573009490967
Rastrigin10,DE,7,1107752933,42.864393766001655,0,"-0.984233,1.944354,1.979102,0.045753,0.827042,3.097449,-0.907898,2.109022,1.953399,0.915759",2.126096725463867
Rastrigin10,DE,8,546221258,36.431517706258305,0,"0.905991,-0.778925,0.086623,1.028031,-0.938896,-1.961301,-2.879672,-0.914539,-0.015008,0.882135",2.27002215385437
Rastrigin10,DE,9,1080537081,37.12131832843872,0,"-0.917686,-0.047162,-2.011511,2.312991,-0.006257,0.057727,0.882863,-0.071383,1.961074,0.104458",2.565495014190674
Rastrigin10,DE,10,613450757,34.475373519755635,0,"-1.024281,0.043939,-0.012711,2.022532,2.037576,0.908783,1.059923,-0.929189,1.749629,0.168136",2.0960354804992676
Rastrigin10,DE,11,376760410,38.73322102166171,0,"-1.044612,1.635534,1.042188,-0.984799,0.065842,-1.984324,0.054883,1.889102,-0.141655,-0.049716",2.2021431922912598
Rastrigin10,DE,12,671070253,36.46306389324615,0,"0.975401,-0.775306,0.068424,-0.998294,1.179567,0.03207,-0.169981,1.045286,0.95546,-1.212623",2.3452675342559814
Rastrigin10,DE,13,1128121658,39.96725013425124,0,"-0.051285,-0.039526,2.964994,2.066431,-0.065255,0.073181,-0.045211,-2.769411,1.905404,-0.067954",2.1853363513946533
Rastrigin10,DE,14,307852081,41.60882557350397,0,"1.992901,-1.0209,-0.944828,-1.005942,-2.016362,-1.79549,-0.894017,2.242046,1.059528,-0.031218",2.2874393463134766
Rastrigin10,DE,15,2107345566,24.35951165654437,0,"-0.028942,0.983506,2.083641,-0.108093,0.994474,-1.066289,0.955366,-2.086085,-0.967749,-1.972383",2.359862804412842
Rastrigin10,DE,16,85955199,33.28123449206407,0,"3.118633,0.973628,-0.052489,-0.052874,3.022105,-0.015769,0.014896,-0.035706,0.830806,0.88394",2.543255090713501
Rastrigin10,DE,17,487315494,26.43802504398944,0,"-0.968502,0.163529,0.999562,-1.175666,0.063673,-0.015881,1.041566,0.143649,-0.027142,1.877822",2.3512625694274902
Rastrigin10,DE,18,343011894,39.7625081601865,0,"-1.160044,1.868688,0.045034,0.927255,0.025567,-0.020387,-0.117582,-2.0985,0.700812,1.072027",2.427992343902588
Rastrigin10,DE,19,214517523,34.447078659543934,0,"-0.01474,0.090974,-1.971885,1.942962,0.17091,0.724576,0.014891,-0.124432,-0.958893,0.89887",2.0657951831817627
Rastrigin10,DE,20,2050919968,36.742092561850406,0,"0.975252,-1.058072,-0.833284,0.914815,-1.880932,0.068908,-0.997532,-0.333848,0.997084,0.93517",1.90157151222229
Rastrigin10,DE,21,443238384,27.907877477807588,0,"0.903731,0.09442,0.000413,1.180466,-1.127445,-2.002796,0.978301,1.043664,0.859926,-0.96022",2.214265823364258
Rastrigin10,DE,22,534234801,34.58400989558557,0,"0.103988,-1.036206,-0.06191,0.062447,-1.962613,-0.956145,1.294417,-2.037619,2.035661,0.996493",2.0225260257720947
Rastrigin10,DE,23,1855481248,38.13466400011283,0,"-1.940408,-1.013368,1.838496,-1.139841,-1.142281,-0.874779,-0.043805,0.05525,0.831807,-1.965556",2.65391206741333
Rastrigin10,DE,24,1633918631,31.207553207167507,0,"3.045171,0.045152,-0.901638,-0.832575,0.868742,-0.938968,-0.075844,0.967181,-1.074393,-1.087784",2.1071908473968506
Rastrigin10,DE,25,1760472273,31.76100146768711,0,"0.047483,-1.011959,-2.122963,1.042361,-0.89149,2.02966,-2.982267,-1.00064,-1.047833,0.118348",1.9684784412384033
Rastrigin10,DE,26,1365764078,37.61622605035294,0,"-0.84811,0.069461,0.065949,0.928944,-0.050897,-1.491128,0.001113,0.929032,0.947664,-1.098198",1.815420389175415
Rastrigin10,DE,27,755493457,20.244848440747617,0,"-0.898768,0.989551,-1.000926,-1.025845,1.215357,-0.009468,0.901842,-0.067781,-0.97337,0.040196",1.8328988552093506
Rastrigin10,DE,28,684937609,35.88215872016882,0,"0.250755,-0.100033,-0.881999,-0.005651,-1.204259,1.060991,-0.877036,-0.936199,-0.060457,-1.99228",1.8159401416778564
Rastrigin10,DE,29,829029529,34.26320782934843,0,"-0.938389,-0.136812,-1.142435,0.058365,1.062348,-1.154258,2.130373,-0.044905,0.995883,0.813596",1.8182258605957031
Rastrigin10,DE,30,571136594,36.762990314500314,0,"-0.895642,1.897382,3.06492,-0.099057,-0.161983,-0.046697,-0.923407,-1.936074,-0.981807,1.10733",1.9574871063232422
